path,label,mel_count
common_voice_ru_21786186.npz,ru,145
common_voice_ru_20026530.npz,ru,227
common_voice_ru_19541926.npz,ru,192
common_voice_ru_18953328.npz,ru,63
common_voice_ru_20060203.npz,ru,140
common_voice_ru_18878807.npz,ru,106
common_voice_ru_20392993.npz,ru,83
common_voice_ru_20572396.npz,ru,127
common_voice_ru_19798755.npz,ru,141
common_voice_ru_19306822.npz,ru,150
common_voice_ru_22682868.npz,ru,149
common_voice_ru_18912406.npz,ru,123
common_voice_ru_20828405.npz,ru,100
common_voice_ru_19579513.npz,ru,190
common_voice_ru_20002492.npz,ru,180
common_voice_ru_18916106.npz,ru,79
common_voice_ru_18950153.npz,ru,194
common_voice_ru_20393327.npz,ru,110
common_voice_ru_19537132.npz,ru,149
common_voice_ru_18858255.npz,ru,117
common_voice_ru_18921782.npz,ru,114
common_voice_ru_19224301.npz,ru,156
common_voice_ru_19797328.npz,ru,132
common_voice_ru_18911899.npz,ru,106
common_voice_ru_21383553.npz,ru,113
common_voice_ru_18891733.npz,ru,79
common_voice_ru_23683877.npz,ru,91
common_voice_ru_23982194.npz,ru,126
common_voice_ru_20346240.npz,ru,116
common_voice_ru_22460869.npz,ru,82
common_voice_ru_21901382.npz,ru,94
common_voice_ru_18968382.npz,ru,157
common_voice_ru_20207208.npz,ru,213
common_voice_ru_23878038.npz,ru,114
common_voice_ru_20346254.npz,ru,126
common_voice_ru_19043444.npz,ru,241
common_voice_ru_21502564.npz,ru,316
common_voice_ru_19478143.npz,ru,171
common_voice_ru_19140159.npz,ru,123
common_voice_ru_20458225.npz,ru,150
common_voice_ru_18969936.npz,ru,160
common_voice_ru_22370821.npz,ru,91
common_voice_ru_20876223.npz,ru,164
common_voice_ru_23955633.npz,ru,141
common_voice_ru_22414871.npz,ru,33
common_voice_ru_20957574.npz,ru,208
common_voice_ru_18853499.npz,ru,61
common_voice_ru_18936567.npz,ru,240
common_voice_ru_18928981.npz,ru,123
common_voice_ru_20223341.npz,ru,136
common_voice_ru_19417209.npz,ru,182
common_voice_ru_23847223.npz,ru,178
common_voice_ru_21783983.npz,ru,136
common_voice_ru_21545808.npz,ru,186
common_voice_ru_18977249.npz,ru,121
common_voice_ru_18888289.npz,ru,117
common_voice_ru_18928995.npz,ru,91
common_voice_ru_18930102.npz,ru,91
common_voice_ru_19024420.npz,ru,143
common_voice_ru_20985426.npz,ru,174
common_voice_ru_20106145.npz,ru,204
common_voice_ru_18921769.npz,ru,212
common_voice_ru_20426710.npz,ru,144
common_voice_ru_18896909.npz,ru,81
common_voice_ru_18932073.npz,ru,200
common_voice_ru_19164010.npz,ru,149
common_voice_ru_23955627.npz,ru,156
common_voice_ru_22351838.npz,ru,122
common_voice_ru_18921741.npz,ru,120
common_voice_ru_20984710.npz,ru,122
common_voice_ru_18933345.npz,ru,134
common_voice_ru_18861371.npz,ru,80
common_voice_ru_18926990.npz,ru,121
common_voice_ru_18875304.npz,ru,154
common_voice_ru_18958296.npz,ru,190
common_voice_ru_21522677.npz,ru,190
common_voice_ru_19574976.npz,ru,136
common_voice_ru_18909967.npz,ru,253
common_voice_ru_18937651.npz,ru,130
common_voice_ru_20886107.npz,ru,119
common_voice_ru_19154689.npz,ru,100
common_voice_ru_20548787.npz,ru,85
common_voice_ru_20364036.npz,ru,211
common_voice_ru_18928017.npz,ru,68
common_voice_ru_23788739.npz,ru,96
common_voice_ru_21554087.npz,ru,193
common_voice_ru_18929309.npz,ru,91
common_voice_ru_18911696.npz,ru,81
common_voice_ru_19157169.npz,ru,179
common_voice_ru_20828175.npz,ru,90
common_voice_ru_19010550.npz,ru,239
common_voice_ru_19332991.npz,ru,92
common_voice_ru_18915619.npz,ru,287
common_voice_ru_23009281.npz,ru,51
common_voice_ru_18931977.npz,ru,121
common_voice_ru_19772830.npz,ru,194
common_voice_ru_18944324.npz,ru,56
common_voice_ru_24063955.npz,ru,209
common_voice_ru_18963943.npz,ru,201
common_voice_ru_18849614.npz,ru,132
common_voice_ru_21445363.npz,ru,171
common_voice_ru_19893027.npz,ru,99
common_voice_ru_18916462.npz,ru,62
common_voice_ru_21930375.npz,ru,175
common_voice_ru_19951400.npz,ru,141
common_voice_ru_20828149.npz,ru,166
common_voice_ru_18955567.npz,ru,194
common_voice_ru_19772818.npz,ru,240
common_voice_ru_19854544.npz,ru,216
common_voice_ru_18948536.npz,ru,188
common_voice_ru_23395038.npz,ru,69
common_voice_ru_21317130.npz,ru,95
common_voice_ru_18920852.npz,ru,107
common_voice_ru_19157627.npz,ru,115
common_voice_ru_23101839.npz,ru,136
common_voice_ru_19379210.npz,ru,108
common_voice_ru_21419352.npz,ru,219
common_voice_ru_18917998.npz,ru,79
common_voice_ru_21765989.npz,ru,151
common_voice_ru_22728301.npz,ru,207
common_voice_ru_18932503.npz,ru,45
common_voice_ru_18922710.npz,ru,96
common_voice_ru_21643769.npz,ru,194
common_voice_ru_18924361.npz,ru,201
common_voice_ru_21494923.npz,ru,167
common_voice_ru_19351577.npz,ru,182
common_voice_ru_21901619.npz,ru,91
common_voice_ru_18968619.npz,ru,130
common_voice_ru_22714375.npz,ru,90
common_voice_ru_23009242.npz,ru,174
common_voice_ru_19288564.npz,ru,152
common_voice_ru_18928229.npz,ru,149
common_voice_ru_18930466.npz,ru,150
common_voice_ru_22934480.npz,ru,72
